	Smiles String	agg
143	COc1ccc(cc1)C(=O)C2=C(O)C(=O)N(C2c3ccccc3F)c4nnc(C)s4	NONAGG
144	COc1ccc(cc1)N2CCN(CC2)C(=O)CCCN3C(=O)c4cccc5cccc(C3=O)c45	NONAGG
145	O=C(CSc1oc(COc2ccccc2)nn1)NCCc3ccccc3	NONAGG
146	COc1cccc2c1N(C3CC(C)CCC3C2(C)C)C(=O)C	NONAGG
147	COC(=O)c1ccccc1S(=O)(=O)NC(=O)c2ccccc2	NONAGG
148	COc1ccc(Br)cc1C2C(=C(N)Oc3cc4OCOc4cc23)C#N	AGG
149	Oc1nc(O)c2sc3nc(cc(c3c2n1)C(F)(F)F)c4ccncc4	NONAGG
150	CCN(CC)S(=O)(=O)c1cccc2nsnc12	NONAGG
151	CN1C(=O)N(C)C(=O)C(=C1\C=C\c2ccccc2Cl)[N+](=O)[O-]	NONAGG
152	CCOC(=O)N1CCN(CC1)C(=O)C(=O)NN	NONAGG
153	CCOC(=O)c1cnc2c(C)cc(Cl)cc2c1Nc3cccc(c3)C(=O)O	NONAGG
154	CCOc1ccc(cc1)C2CC(=O)NC(=C2C#N)SCC(=O)Nc3cccc(C)c3	AGG
156	O=C(COc1ccccc1)OC2CN3CCC2CC3	NONAGG
157	O=C1CC(NCc2ccccc2)C(=O)N1c3ccccc3	NONAGG
158	COc1cccc(NC(=O)CCN2CC(C)OC(C)C2)c1	NONAGG
159	NN1C(=O)c2ccccc2N=C1c3cccc(COc4ccccc4Br)c3	AGG
160	Nc1nc2NC(CC(c3ccccc3)n2n1)c4ccc(Cl)cc4	NONAGG
161	CN(C)c1ccc(NC(=O)C(=O)NCc2occc2)cc1	NONAGG
162	CCC1S\C(=N\N=C(/C)\c2ccc(Br)cc2)\NC1=O	AGG
163	CC(=O)NC1=NN(C(=O)C)C(C)(CCS(=O)(=O)c2ccc(Cl)c(Cl)c2)S1	NONAGG
164	CCN1CCN(CC1)C(=O)C2=NNC(=O)c3ccccc23	NONAGG
165	COc1ccc(cc1)C(NC(=O)Cc2cccs2)C(=O)Nc3ccc4OCCOc4c3	AGG
166	CCOc1ccccc1C(=O)Nc2c(nc3ccccn23)c4cccs4	NONAGG
167	[O-][N+](=O)c1cnn(c1)c2nc(cc(n2)C(F)(F)F)c3cccs3	NONAGG
168	Fc1ccc(CNC(=O)CSc2oc(CNC(=O)c3cccs3)nn2)cc1	NONAGG
169	CCC(=O)N1CCCc2cc(ccc12)S(=O)(=O)N3CCC(=CC3)c4ccccc4	AGG
170	COc1ccc(cc1)C(=O)CCN2CCC(C)CC2	NONAGG
171	Oc1ccc(cc1)N2C(=O)c3cc4ccccc4c(c5ccccc5)c3C2=O	AGG
172	CC(=O)Nc1sc(C(=O)C)c(C)c1C(=O)O	NONAGG
173	CC(=O)OC1CC(C)(C)N(O)C(C)(C)C1	NONAGG
174	COc1ccc(cc1)C2C(C(=O)NCc3occc3)c4ccccc4C(=O)N2C5CCCCC5	NONAGG
175	CCOCCCNC(=O)C(NC(=O)Cc1cccs1)c2ccc(Cl)cc2	NONAGG
176	Cc1ccccc1Cn2cc(c3ccccc23)S(=O)(=O)CC(=O)NC4CCCCC4	AGG
177	CCCCN(CCCNC(=O)c1cc(nc2ccccc12)c3cccs3)Cc4ccccc4	NONAGG
178	COc1ccc(NS(=O)(=O)c2ccc3N(C)C(=O)N(C)C(=O)c3c2)cc1Cl	NONAGG
179	CCOc1ccccc1NC(=O)CSC2=CC(=O)N(C)c3cc(Cl)ccc23	NONAGG
180	OCCN1CNC(=Nc2nc3ccccc3s2)NC1	NONAGG
182	Cc1ccc(OCCSC2=NC(=O)c3ccccc3N2)cc1	AGG
183	COc1ccccc1c2oc(\C=C(/NC(=O)c3ccccc3)\C(=O)NCCCn4cccn4)cc2	NONAGG
184	COc1ccc(OC)c(NC(=O)CN2C=Cc3ccccc3C2=O)c1	NONAGG
185	CCCN(CCC)C(=O)CCS(=O)(=O)c1cccc2nsnc12	NONAGG
187	CCOc1ccc(cc1)N2C(=N\C(=C/c3ccc(OC)cc3)\C2=O)SCC	NONAGG
188	CN(CCNS(=O)(=O)c1ccc2N(CCc2c1)C(=O)C3CC3)Cc4ccccc4	NONAGG
189	O=C(NCC(N1CCOCC1)c2cccnc2)NC3CCCCC3	NONAGG
190	O=C1Oc2cc(OCc3ccccc3)ccc2C=C1	NONAGG
191	CN(CC(=O)N\N=C\c1ccccc1[N+](=O)[O-])c2ccccc2	NONAGG
192	CC(=O)c1ccc(NCN2C(=O)[C@@H]3CC=CC[C@@H]3C2=O)cc1	NONAGG
193	Cc1cc(Cl)nc(Cl)c1S(=O)(=O)NC2CCCCC2	NONAGG
195	O=C1CCCC2=C1C(C3=C(N2)N=C(NC3=O)SCc4ccccc4)c5ccncc5	NONAGG
197	COc1ccc(NC(=O)C2CCCN(C2)S(=O)(=O)c3ccc(Br)s3)cc1OC	NONAGG
198	CCOC(=O)C1CCCN(C1)C(=O)c2oc3nc4cc(OC)ccc4cc3c2	NONAGG
199	CN1C(=O)N(C)c2nc(CN3CCC(Cc4ccccc4)CC3)n(Cc5ccccc5Cl)c2C1=O	NONAGG
200	O=C1c2ccccc2c3nc4ccncc4nc13	NONAGG
